00000304) perceptual - 104.90853; img_l1 - 0.51848; sync - 7.96848; latent_emo - 0.63742
00000305) perceptual - 97.87330; img_l1 - 0.44085; sync - 6.84327; latent_emo - 0.35509
00000306) perceptual - 94.95994; img_l1 - 0.41522; sync - 7.17867; latent_emo - 0.18192
00000307) perceptual - 93.46410; img_l1 - 0.39663; sync - 5.85865; latent_emo - 0.17132
00000308) perceptual - 91.95308; img_l1 - 0.38598; sync - 5.76946; latent_emo - 0.14007
00000309) perceptual - 90.74593; img_l1 - 0.37536; sync - 5.64082; latent_emo - 0.11554
00000310) perceptual - 90.17656; img_l1 - 0.36804; sync - 5.60215; latent_emo - 0.09157
00000311) perceptual - 89.26417; img_l1 - 0.35893; sync - 5.48813; latent_emo - 0.08328
00000312) perceptual - 88.48311; img_l1 - 0.35339; sync - 5.51920; latent_emo - 0.07733
00000313) perceptual - 88.00471; img_l1 - 0.34798; sync - 5.54213; latent_emo - 0.07055
00000314) perceptual - 86.97690; img_l1 - 0.34318; sync - 5.24500; latent_emo - 0.06659
00000315) perceptual - 87.06960; img_l1 - 0.33917; sync - 5.70383; latent_emo - 0.06205
00000316) perceptual - 86.09012; img_l1 - 0.33380; sync - 5.33151; latent_emo - 0.05483
00000317) perceptual - 85.99480; img_l1 - 0.33126; sync - 5.58786; latent_emo - 0.05104
00000318) perceptual - 85.73203; img_l1 - 0.32894; sync - 5.23625; latent_emo - 0.04795
00000319) perceptual - 85.70443; img_l1 - 0.32685; sync - 5.29868; latent_emo - 0.04479
00000320) perceptual - 85.38779; img_l1 - 0.32576; sync - 5.26646; latent_emo - 0.04493
00000321) perceptual - 85.24219; img_l1 - 0.32181; sync - 5.52027; latent_emo - 0.04437
00000322) perceptual - 85.00663; img_l1 - 0.32133; sync - 5.59899; latent_emo - 0.04435
00000323) perceptual - 84.60370; img_l1 - 0.31980; sync - 5.29138; latent_emo - 0.04441
00000324) perceptual - 84.72343; img_l1 - 0.32091; sync - 5.43390; latent_emo - 0.04334
00000325) perceptual - 84.55490; img_l1 - 0.31908; sync - 5.14556; latent_emo - 0.04531
