00000281) perceptual - 128.36794; img_l1 - 0.05941; sync - 27.55923; latent_emo - 0.03587; pca_emo - 0.21952
00000282) perceptual - 126.14428; img_l1 - 0.05623; sync - 23.76957; latent_emo - 0.03666; pca_emo - 0.22483
00000283) perceptual - 125.63564; img_l1 - 0.05610; sync - 20.43790; latent_emo - 0.03543; pca_emo - 0.21572
00000284) perceptual - 124.85054; img_l1 - 0.05524; sync - 19.04656; latent_emo - 0.03362; pca_emo - 0.20527
00000285) perceptual - 123.47073; img_l1 - 0.05458; sync - 18.27894; latent_emo - 0.03353; pca_emo - 0.20498
00000286) perceptual - 123.16872; img_l1 - 0.05423; sync - 17.69064; latent_emo - 0.03388; pca_emo - 0.20687
00000287) perceptual - 122.89616; img_l1 - 0.05391; sync - 16.80939; latent_emo - 0.03267; pca_emo - 0.20005
00000288) perceptual - 122.92610; img_l1 - 0.05375; sync - 16.56391; latent_emo - 0.03219; pca_emo - 0.19701
00000289) perceptual - 122.11784; img_l1 - 0.05347; sync - 16.19143; latent_emo - 0.03229; pca_emo - 0.19772
00000290) perceptual - 121.75907; img_l1 - 0.05324; sync - 16.06015; latent_emo - 0.03123; pca_emo - 0.19064
00000291) perceptual - 121.59967; img_l1 - 0.05318; sync - 15.38867; latent_emo - 0.03091; pca_emo - 0.18986
00000292) perceptual - 121.89304; img_l1 - 0.05301; sync - 15.48132; latent_emo - 0.03025; pca_emo - 0.18558
00000293) perceptual - 121.14667; img_l1 - 0.05263; sync - 14.92755; latent_emo - 0.03024; pca_emo - 0.18513
00000294) perceptual - 121.67525; img_l1 - 0.05319; sync - 14.99829; latent_emo - 0.03053; pca_emo - 0.18694
00000295) perceptual - 121.05190; img_l1 - 0.05277; sync - 14.53208; latent_emo - 0.02980; pca_emo - 0.18291
00000296) perceptual - 120.70894; img_l1 - 0.05234; sync - 14.71214; latent_emo - 0.03003; pca_emo - 0.18429
00000297) perceptual - 120.86539; img_l1 - 0.05261; sync - 14.41480; latent_emo - 0.03010; pca_emo - 0.18463
00000298) perceptual - 120.10914; img_l1 - 0.05214; sync - 14.19319; latent_emo - 0.02976; pca_emo - 0.18274
00000299) perceptual - 120.16733; img_l1 - 0.05232; sync - 14.38682; latent_emo - 0.02944; pca_emo - 0.18051
00000300) perceptual - 119.93287; img_l1 - 0.05165; sync - 13.98042; latent_emo - 0.02853; pca_emo - 0.17493
00000301) perceptual - 120.07290; img_l1 - 0.05234; sync - 14.06464; latent_emo - 0.02972; pca_emo - 0.18217
00000302) perceptual - 120.62797; img_l1 - 0.05238; sync - 13.72236; latent_emo - 0.02907; pca_emo - 0.17834
00000303) perceptual - 120.15550; img_l1 - 0.05193; sync - 13.76096; latent_emo - 0.02923; pca_emo - 0.17971
00000304) perceptual - 119.98437; img_l1 - 0.05174; sync - 13.44101; latent_emo - 0.02884; pca_emo - 0.17688
00000305) perceptual - 120.35541; img_l1 - 0.05183; sync - 13.40133; latent_emo - 0.02832; pca_emo - 0.17388
00000306) perceptual - 119.57296; img_l1 - 0.05144; sync - 13.19744; latent_emo - 0.02787; pca_emo - 0.17027
00000307) perceptual - 119.38417; img_l1 - 0.05160; sync - 13.16570; latent_emo - 0.02791; pca_emo - 0.17119
00000308) perceptual - 119.33866; img_l1 - 0.05197; sync - 13.43617; latent_emo - 0.02673; pca_emo - 0.16373
00000309) perceptual - 119.68352; img_l1 - 0.05154; sync - 13.34138; latent_emo - 0.02828; pca_emo - 0.17349
00000310) perceptual - 120.00270; img_l1 - 0.05210; sync - 13.22366; latent_emo - 0.02692; pca_emo - 0.16505
00000311) perceptual - 119.42737; img_l1 - 0.05176; sync - 13.23488; latent_emo - 0.02663; pca_emo - 0.16345
